Date;actual;predicted
16.12.2019;304,21;302,9192287
17.12.2019;315,48;314,6555384
18.12.2019;320,80;323,4826909
19.12.2019;332,22;331,325374
20.12.2019;336,90;334,3967255
23.12.2019;333,10;332,6659273
24.12.2019;333,20;333,374578
26.12.2019;332,63;334,0896819
27.12.2019;329,09;328,1029249
30.12.2019;323,31;324,2139811
31.12.2019;323,57;323,7043081
02.01.2020;329,81;328,2488397
03.01.2020;325,90;328,3303539
06.01.2020;335,83;331,814064
07.01.2020;330,75;331,7891826
08.01.2020;339,26;340,1028652
09.01.2020;335,66;337,1683612
10.01.2020;329,05;330,132903
13.01.2020;338,92;338,8590109
14.01.2020;338,69;338,2092413
15.01.2020;339,07;340,7209316
16.01.2020;338,62;337,4679467
17.01.2020;339,67;338,900836
21.01.2020;338,11;335,7685213
22.01.2020;326,00;329,7389557
23.01.2020;349,60;344,5906453
24.01.2020;353,16;356,4545976
27.01.2020;342,88;346,8921838
28.01.2020;348,52;348,7295043
29.01.2020;343,16;341,0839409
30.01.2020;347,74;345,2982921
31.01.2020;345,09;342,4059916
03.02.2020;358,00;356,2736759
04.02.2020;369,01;363,8919659
05.02.2020;369,67;364,9011649
06.02.2020;366,95;365,3999787
07.02.2020;366,77;369,2698759
10.02.2020;371,07;370,7092186
11.02.2020;373,69;374,056428
12.02.2020;380,01;379,1380503
13.02.2020;381,40;383,3248418
14.02.2020;380,40;382,8942445
18.02.2020;387,78;387,387273
19.02.2020;386,19;389,5120867
20.02.2020;386,00;380,9005762
21.02.2020;380,07;380,9013962
24.02.2020;368,70;368,2371781
25.02.2020;360,09;363,1468856
26.02.2020;379,24;377,7529633
27.02.2020;371,71;386,7720984
28.02.2020;369,03;368,3066484
02.03.2020;381,05;372,5904329
03.03.2020;368,77;379,5014515
04.03.2020;383,79;376,7791218
05.03.2020;372,78;379,0456754
06.03.2020;368,97;361,9123619
09.03.2020;346,49;352,8516315
10.03.2020;364,13;355,8565036
11.03.2020;349,92;350,4300249
12.03.2020;315,25;318,0274283
13.03.2020;336,30;315,9538654
16.03.2020;298,84;317,9740106
17.03.2020;319,75;305,8192576
18.03.2020;315,47;323,1499414
19.03.2020;332,03;336,8358781
20.03.2020;332,83;340,5896796
23.03.2020;360,27;356,7209453
24.03.2020;357,32;358,8054128
25.03.2020;342,39;343,8877498
26.03.2020;362,99;357,4907008
27.03.2020;357,12;361,7017565
30.03.2020;370,96;373,2987349
31.03.2020;375,50;378,8106718
01.04.2020;364,08;366,9739705
02.04.2020;370,08;366,2516155
03.04.2020;361,76;361,9935974
06.04.2020;379,96;374,2400862
07.04.2020;372,28;372,6006932
08.04.2020;371,12;373,1058578
09.04.2020;370,72;365,7476431
13.04.2020;396,72;391,091698
14.04.2020;413,55;411,5528881
15.04.2020;426,75;430,1396569
16.04.2020;439,17;443,4304065
17.04.2020;422,96;419,1612717
20.04.2020;437,49;439,5527945
21.04.2020;433,83;432,4334624
22.04.2020;421,42;420,0256499
23.04.2020;426,70;434,9919087
24.04.2020;424,99;419,7948471
27.04.2020;421,38;425,1789349
28.04.2020;403,83;407,2232773
29.04.2020;411,89;407,6266284
30.04.2020;419,85;419,7322275
01.05.2020;415,27;422,7203105
04.05.2020;428,15;424,1848004
05.05.2020;424,68;425,7505054
06.05.2020;434,26;435,4029675
07.05.2020;436,53;433,7630492
08.05.2020;435,55;440,2260103
